"number_wasps"	"w"	"total_alive"	"total_usurp"	"total_nested"
80	72	9	2	9
80	73	7	3	7
80	74	5	0	5
80	75	5	2	5
80	76	5	2	5
80	77	5	3	5
80	78	7	3	7
80	79	6	4	6
80	80	7	5	7
90	1	6	0	6
90	2	7	0	7
90	3	7	1	7
90	4	6	0	6
90	5	8	1	8
90	6	6	0	6
90	7	7	1	7
90	8	7	0	7
90	9	6	1	6
90	10	5	0	5
90	11	7	0	7
90	12	8	0	8
90	13	7	1	7
90	14	7	0	7
90	15	6	1	6
90	16	7	2	7
90	17	6	2	6
90	18	6	1	6
90	19	5	2	5
90	20	6	1	6
90	21	6	1	6
90	22	6	0	6
90	23	5	3	5
90	24	7	3	7
90	25	7	3	7
90	26	7	1	7
90	27	6	1	6
90	28	6	1	6
90	29	7	4	7
90	30	7	2	7
90	31	6	4	6
90	32	6	1	6
90	33	8	2	8
90	34	4	1	4
90	35	7	1	7
90	36	6	3	6
90	37	6	0	6
90	38	7	1	7
90	39	7	4	7
90	40	6	1	6
90	41	7	1	7
90	42	6	2	6
90	43	6	1	6
90	44	6	0	6
90	45	7	1	7
90	46	6	1	6
90	47	7	4	7
90	48	6	2	6
90	49	5	2	5
90	50	6	2	6
90	51	5	2	5
90	52	6	2	6
90	53	7	5	7
90	54	7	3	7
90	55	7	3	7
90	56	6	3	6
90	57	7	2	7
90	58	7	3	7
90	59	7	4	7
90	60	7	3	7
90	61	7	4	7
90	62	6	5	6
90	63	5	1	5
90	64	6	3	6
90	65	7	2	7
90	66	6	1	6
90	67	6	3	6
90	68	7	3	7
90	69	7	4	7
90	70	7	2	7
90	71	6	2	6
90	72	8	5	8
90	73	6	2	6
90	74	7	2	7
90	75	8	4	8
90	76	6	2	6
90	77	7	4	7
90	78	7	4	7
90	79	6	3	6
90	80	6	4	6
90	81	6	6	6
90	82	7	7	7
90	83	7	4	7
90	84	5	1	5
90	85	7	4	7
90	86	5	1	5
90	87	7	1	7
90	88	5	1	5
90	89	8	5	8
90	90	5	0	5
100	1	7	0	7
100	2	7	0	7
100	3	7	1	7
100	4	5	0	5
100	5	6	0	6
100	6	7	0	7
100	7	7	1	7
100	8	6	0	6
100	9	9	0	9
100	10	7	2	7
100	11	7	1	7
100	12	6	0	6
100	13	7	1	7
100	14	6	1	6
100	15	6	2	6
100	16	6	1	6
100	17	6	0	6
100	18	6	1	6
100	19	7	0	7
100	20	6	2	6
100	21	4	0	4
