"number_wasps"	"w"	"max_steps"	"min_steps"	"mean_steps"	"mean_survival"	"mean_nested"	"mean_usurp"
100	1	1991	1	412	0.7	0.7	0
100	2	598	1	122.3	0.7	0.7	0
100	3	424	1	88.4	0.7	0.7	0.1
100	4	413	1	103.2	0.5	0.5	0
100	5	405	1	123.3	0.6	0.6	0
100	6	309	1	64.4	0.7	0.7	0
100	7	813	1	154.9	0.7	0.7	0.1
100	8	356	2	103.1	0.6	0.6	0
100	9	734	2	96.3	0.9	0.9	0
100	10	1677	2	295.2	0.7	0.7	0.2
100	11	1198	1	275.6	0.7	0.7	0.1
100	12	788	2	198.4	0.6	0.6	0
100	13	257	2	84	0.7	0.7	0.1
100	14	1713	2	310.9	0.6	0.6	0.1
100	15	1607	1	280.6	0.6	0.6	0.2
100	16	731	2	148.7	0.6	0.6	0.1
100	17	803	2	243.7	0.6	0.6	0
100	18	501	1	156.2	0.6	0.6	0.1
100	19	721	2	138.9	0.7	0.7	0
100	20	201	1	85.6	0.6	0.6	0.2
100	21	1049	5	154.5	0.4	0.4	0
100	22	402	3	93.4	0.7	0.7	0.3
100	23	628	2	154.7	0.6	0.6	0.2
100	24	1001	1	143.4	0.6	0.6	0.3
100	25	1000	2	194.4	0.7	0.7	0.1
100	26	549	5	138.5	0.7	0.7	0.2
100	27	1487	2	268.6	0.6	0.6	0.2
100	28	667	2	89.6	0.6	0.6	0.2
100	29	357	1	70.6	0.6	0.6	0.2
100	30	471	6	116	0.5	0.5	0
100	31	784	6	300.7	0.6	0.6	0.1
100	32	1085	6	337.4	0.7	0.7	0.3
100	33	789	3	150.3	0.8	0.8	0.2
100	34	668	5	147.7	0.6	0.6	0.1
100	35	572	3	106.1	0.6	0.6	0.4
100	36	839	4	202	0.6	0.6	0.1
100	37	923	2	298.2	0.5	0.5	0.2
100	38	402	3	122.6	0.6	0.6	0.1
100	39	1458	6	259.5	0.6	0.6	0.2
100	40	1430	3	284.3	0.7	0.7	0.1
100	41	471	3	122.1	0.7	0.7	0.4
100	42	521	2	105.6	0.8	0.8	0.2
100	43	605	3	147.5	0.6	0.6	0.3
100	44	1079	10	147.9	0.7	0.7	0.1
100	45	417	4	103.4	0.5	0.5	0.1
100	46	1219	4	279.6	0.7	0.7	0.3
100	47	478	3	85.5	0.8	0.8	0.4
100	48	1252	15	202.9	0.6	0.6	0.2
100	49	465	5	117.3	0.5	0.5	0.3
100	50	619	4	141.4	0.5	0.5	0.1
100	51	801	2	182.5	0.7	0.7	0.1
100	52	882	3	119.7	0.7	0.7	0.2
100	53	534	3	112.8	0.5	0.5	0.2
100	54	689	3	147.2	0.6	0.6	0
100	55	1514	4	218.5	0.5	0.5	0.1
100	56	173	12	61.1	0.6	0.6	0.2
100	57	1663	2	376.9	0.7	0.7	0.3
100	58	1948	1	260.5	0.7	0.7	0.4
100	59	1820	4	378.4	0.7	0.7	0.3
100	60	953	6	153.8	0.6	0.6	0.3
100	61	2015	12	373.1	0.7	0.7	0.3
100	62	115	10	39	0.7	0.7	0.2
100	63	781	10	287.7	0.7	0.7	0.2
100	64	105	3	46.9	0.7	0.7	0.3
100	65	1157	4	186.9	0.6	0.6	0.2
100	66	732	2	180	0.7	0.7	0.4
100	67	1106	7	282.9	0.6	0.6	0.1
100	68	534	5	137.1	0.7	0.7	0.2
100	69	2237	3	298.9	0.7	0.7	0.7
100	70	565	6	167	0.5	0.5	0.2
100	71	356	1	98.4	0.6	0.6	0.3
100	72	1055	1	157.4	0.6	0.6	0.4
100	73	285	4	99.6	0.5	0.5	0.4
100	74	197	6	72.8	0.7	0.7	0.3
100	75	1275	6	219.8	0.7	0.7	0.3
100	76	542	6	110.2	0.7	0.7	0.5
100	77	733	1	176.2	0.7	0.7	0.2
100	78	247	4	83.6	0.5	0.5	0.1
100	79	2001	8	440.6	0.7	0.7	0.3
100	80	738	4	150	0.8	0.8	0.5
100	81	1433	6	276.5	0.7	0.7	0.4
100	82	744	5	151.7	0.7	0.7	0.4
100	83	1502	6	349.6	0.7	0.7	0.2
100	84	1927	2	311.6	0.7	0.7	0.3
100	85	635	12	173.6	0.7	0.7	0.3
100	86	342	5	95	0.7	0.7	0.2
100	87	337	1	114.3	0.7	0.7	0.5
100	88	1149	2	215.3	0.6	0.6	0.5
100	89	1413	8	237.4	0.6	0.6	0.3
100	90	418	3	125.1	0.5	0.5	0.2
100	91	592	2	101.7	0.7	0.7	0.5
100	92	690	1	108.3	0.6	0.6	0.3
100	93	3005	8	573.9	0.7	0.7	0.3
100	94	2537	20	353.5	0.7	0.7	0.4
100	95	1816	5	222.5	0.6	0.6	0.4
100	96	401	2	87.3	0.7	0.7	0.4
100	97	529	1	87	0.5	0.5	0.3
100	98	861	13	259.3	0.7	0.7	0.5
100	99	885	7	204.9	0.7	0.7	0.7
100	100	1031	5	181.9	0.7	0.7	0.4
110	1	595	1	125.7	0.7	0.7	0
110	2	1296	1	211.6	0.6	0.6	0
