"number_wasps"	"w"	"max_steps"	"min_steps"	"mean_steps"	"mean_survival"	"mean_nested"	"mean_usurp"	"Treatment"
100	30	404	1	66	0.7	0.7	0.1	"FSF"
100	31	1419	2	165.8	0.7	0.7	0	"FSF"
100	32	522	2	113.4	0.8	0.8	0.1	"FSF"
100	33	893	3	156	0.7	0.7	0	"FSF"
100	34	380	1	83	0.6	0.6	0.4	"FSF"
100	35	258	1	57.6	0.7	0.7	0.1	"FSF"
100	36	746	2	92.3	0.8	0.8	0.1	"FSF"
100	37	377	2	51	0.8	0.8	0.3	"FSF"
100	38	891	2	116.2	0.8	0.8	0.1	"FSF"
100	39	832	2	144.7	0.7	0.7	0.1	"FSF"
100	40	484	1	142.8	0.6	0.6	0.1	"FSF"
100	41	1303	2	192.5	0.6	0.6	0.3	"FSF"
100	42	159	3	30.1	0.8	0.8	0	"FSF"
100	43	967	2	137.9	0.7	0.7	0.3	"FSF"
100	44	818	3	121.7	0.7	0.7	0.1	"FSF"
100	45	774	2	135	0.8	0.8	0.2	"FSF"
100	46	465	3	62.4	0.8	0.8	0.3	"FSF"
100	47	494	1	92.3	0.5	0.5	0.2	"FSF"
100	48	322	2	42.1	0.7	0.7	0.2	"FSF"
100	49	454	2	92.4	0.8	0.8	0.4	"FSF"
100	50	1253	3	170.6	0.8	0.8	0.4	"FSF"
100	51	1480	6	283.5	0.7	0.7	0.2	"FSF"
100	52	498	5	85.3	0.8	0.8	0.3	"FSF"
100	53	1007	1	143.9	0.6	0.6	0.3	"FSF"
100	54	2006	2	328.3	0.7	0.7	0.4	"FSF"
100	55	369	1	79.4	0.7	0.7	0.4	"FSF"
100	56	828	4	196.9	0.6	0.6	0	"FSF"
100	57	453	3	67.4	0.8	0.8	0.3	"FSF"
100	58	1050	2	134.7	0.7	0.7	0.3	"FSF"
100	59	378	4	120.8	0.7	0.7	0.3	"FSF"
100	60	138	1	44.1	0.7	0.7	0.3	"FSF"
100	61	804	4	190.3	0.7	0.7	0	"FSF"
100	62	939	3	209.5	0.7	0.7	0.2	"FSF"
100	63	497	2	57.6	0.8	0.8	0.3	"FSF"
100	64	224	4	36.6	0.9	0.9	0.4	"FSF"
100	65	414	6	81.9	0.7	0.7	0.2	"FSF"
100	66	460	2	61.8	0.9	0.9	0.5	"FSF"
100	67	807	1	100.4	0.8	0.8	0.5	"FSF"
100	68	451	5	121.1	0.6	0.6	0.2	"FSF"
100	69	234	1	55.5	0.8	0.8	0.4	"FSF"
100	70	182	3	45.8	0.8	0.8	0.3	"FSF"
100	71	1141	6	141.1	0.7	0.7	0.1	"FSF"
100	72	1533	1	207.1	0.7	0.7	0.3	"FSF"
100	73	886	2	163.1	0.6	0.6	0.2	"FSF"
100	74	625	2	123.4	0.6	0.6	0.4	"FSF"
100	75	851	1	194.4	0.6	0.6	0.2	"FSF"
100	76	757	4	167.6	0.7	0.7	0.5	"FSF"
100	77	489	5	116.6	0.7	0.7	0.2	"FSF"
100	78	110	1	30.2	0.8	0.8	0.3	"FSF"
100	79	874	3	131.1	0.7	0.7	0.5	"FSF"
100	80	2047	1	293.4	0.7	0.7	0.2	"FSF"
100	81	597	3	127.7	0.7	0.7	0.2	"FSF"
100	82	1419	1	203.1	0.6	0.6	0.4	"FSF"
100	83	314	1	73	0.8	0.8	0.4	"FSF"
100	84	2204	5	294.4	0.7	0.7	0.5	"FSF"
