"number_wasps"	"w"	"total_alive"	"total_usurp"	"total_nested"	"Treatment"
100	6	9	0	9	"FSF"
100	7	8	0	8	"FSF"
100	8	9	2	9	"FSF"
100	9	8	0	8	"FSF"
100	10	8	0	8	"FSF"
100	11	8	0	8	"FSF"
100	12	8	0	8	"FSF"
100	13	6	0	6	"FSF"
100	14	6	2	6	"FSF"
100	15	8	2	8	"FSF"
100	16	8	1	8	"FSF"
100	17	8	0	8	"FSF"
100	18	7	1	7	"FSF"
100	19	7	0	7	"FSF"
100	20	9	2	9	"FSF"
100	21	7	2	7	"FSF"
100	22	8	1	8	"FSF"
100	23	7	2	7	"FSF"
100	24	7	0	7	"FSF"
100	25	7	3	7	"FSF"
100	26	7	2	7	"FSF"
100	27	7	2	7	"FSF"
100	28	6	3	6	"FSF"
100	29	8	2	8	"FSF"
100	30	7	1	7	"FSF"
100	31	7	0	7	"FSF"
100	32	8	1	8	"FSF"
100	33	7	0	7	"FSF"
100	34	6	4	6	"FSF"
100	35	7	1	7	"FSF"
100	36	8	1	8	"FSF"
100	37	8	3	8	"FSF"
100	38	8	1	8	"FSF"
100	39	7	1	7	"FSF"
100	40	6	1	6	"FSF"
100	41	6	3	6	"FSF"
100	42	8	0	8	"FSF"
100	43	7	3	7	"FSF"
100	44	7	1	7	"FSF"
100	45	8	2	8	"FSF"
100	46	8	3	8	"FSF"
100	47	5	2	5	"FSF"
100	48	7	2	7	"FSF"
100	49	8	4	8	"FSF"
100	50	8	4	8	"FSF"
100	51	7	2	7	"FSF"
100	52	8	3	8	"FSF"
100	53	6	3	6	"FSF"
100	54	7	4	7	"FSF"
100	55	7	4	7	"FSF"
100	56	6	0	6	"FSF"
100	57	8	3	8	"FSF"
100	58	7	3	7	"FSF"
100	59	7	3	7	"FSF"
100	60	7	3	7	"FSF"
100	61	7	0	7	"FSF"
100	62	7	2	7	"FSF"
100	63	8	3	8	"FSF"
100	64	9	4	9	"FSF"
100	65	7	2	7	"FSF"
100	66	9	5	9	"FSF"
100	67	8	5	8	"FSF"
100	68	6	2	6	"FSF"
100	69	8	4	8	"FSF"
100	70	8	3	8	"FSF"
100	71	7	1	7	"FSF"
100	72	7	3	7	"FSF"
100	73	6	2	6	"FSF"
100	74	6	4	6	"FSF"
100	75	6	2	6	"FSF"
100	76	7	5	7	"FSF"
100	77	7	2	7	"FSF"
100	78	8	3	8	"FSF"
100	79	7	5	7	"FSF"
100	80	7	2	7	"FSF"
100	81	7	2	7	"FSF"
100	82	6	4	6	"FSF"
100	83	8	4	8	"FSF"
100	84	7	5	7	"FSF"
100	85	7	3	7	"FSF"
100	86	7	2	7	"FSF"
100	87	6	4	6	"FSF"
100	88	7	4	7	"FSF"
100	89	7	4	7	"FSF"
100	90	7	3	7	"FSF"
100	91	5	3	5	"FSF"
100	92	8	2	8	"FSF"
100	93	7	3	7	"FSF"
100	94	8	3	8	"FSF"
100	95	6	0	6	"FSF"
100	96	7	2	7	"FSF"
100	97	6	3	6	"FSF"
100	98	8	3	8	"FSF"
100	99	8	4	8	"FSF"
100	100	8	4	8	"FSF"
110	1	8	0	8	"FSF"
110	2	8	0	8	"FSF"
110	3	9	0	9	"FSF"
110	4	7	0	7	"FSF"
110	5	9	0	9	"FSF"
110	6	8	2	8	"FSF"
110	7	8	1	8	"FSF"
110	8	7	0	7	"FSF"
110	9	8	1	8	"FSF"
110	10	8	0	8	"FSF"
110	11	9	2	9	"FSF"
110	12	9	1	9	"FSF"
110	13	9	1	9	"FSF"
110	14	7	0	7	"FSF"
110	15	8	2	8	"FSF"
110	16	7	2	7	"FSF"
110	17	8	2	8	"FSF"
110	18	8	0	8	"FSF"
110	19	7	3	7	"FSF"
110	20	8	0	8	"FSF"
110	21	6	2	6	"FSF"
110	22	8	1	8	"FSF"
110	23	6	2	6	"FSF"
110	24	8	1	8	"FSF"
110	25	7	1	7	"FSF"
110	26	7	2	7	"FSF"
110	27	8	0	8	"FSF"
110	28	8	3	8	"FSF"
110	29	9	1	9	"FSF"
110	30	7	0	7	"FSF"
110	31	8	3	8	"FSF"
110	32	7	1	7	"FSF"
110	33	8	3	8	"FSF"
110	34	6	1	6	"FSF"
110	35	7	2	7	"FSF"
110	36	8	1	8	"FSF"
110	37	6	1	6	"FSF"
110	38	7	2	7	"FSF"
110	39	7	0	7	"FSF"
110	40	7	2	7	"FSF"
110	41	7	1	7	"FSF"
110	42	8	3	8	"FSF"
110	43	7	3	7	"FSF"
110	44	9	2	9	"FSF"
110	45	7	2	7	"FSF"
110	46	7	1	7	"FSF"
110	47	6	0	6	"FSF"
110	48	7	1	7	"FSF"
110	49	8	2	8	"FSF"
110	50	9	5	9	"FSF"
110	51	7	4	7	"FSF"
110	52	7	0	7	"FSF"
110	53	7	3	7	"FSF"
110	54	6	1	6	"FSF"
110	55	8	6	8	"FSF"
110	56	8	5	8	"FSF"
