"number_wasps"	"w"	"total_alive"	"total_usurp"	"total_nested"
100	30	7	1	7
100	31	7	0	7
100	32	8	1	8
100	33	7	0	7
100	34	6	4	6
100	35	7	1	7
100	36	8	1	8
100	37	8	3	8
100	38	8	1	8
100	39	7	1	7
100	40	6	1	6
100	41	6	3	6
100	42	8	0	8
100	43	7	3	7
100	44	7	1	7
100	45	8	2	8
100	46	8	3	8
100	47	5	2	5
100	48	7	2	7
100	49	8	4	8
100	50	8	4	8
100	51	7	2	7
100	52	8	3	8
100	53	6	3	6
100	54	7	4	7
100	55	7	4	7
100	56	6	0	6
100	57	8	3	8
100	58	7	3	7
100	59	7	3	7
100	60	7	3	7
100	61	7	0	7
100	62	7	2	7
100	63	8	3	8
100	64	9	4	9
100	65	7	2	7
